"","system.index","Indices","variableImportance","Scenario"
"108",0,"gNDVI",86.4963308325232,"CS2"
"109",0,"pc1",175.338141429164,"CS2"
"110",0,"pc2",156.725082079469,"CS2"
"111",0,"pc3",165.675300555599,"CS2"
"112",0,"ALOS_RVI",140.724699050292,"CS3"
"113",0,"ALOS_Span",135.717887706184,"CS3"
"114",0,"ARVI",83.9437099758344,"CS3"
"115",0,"B11",97.9024894138921,"CS3"
"116",0,"B12",88.0559879074412,"CS3"
"117",0,"B2",94.7433153780025,"CS3"
"118",0,"B3",97.7527682627093,"CS3"
"119",0,"B4",86.7752339324551,"CS3"
"120",0,"B5",113.640279387961,"CS3"
"121",0,"B6",95.5134261219142,"CS3"
"122",0,"B7",95.990338150706,"CS3"
"123",0,"B8",94.2190491934872,"CS3"
"124",0,"B8A",87.2340071788738,"CS3"
"125",0,"BAI",78.4570629190833,"CS3"
"126",0,"BSI",67.6459793103063,"CS3"
"127",0,"Chlogreen",73.3953012187836,"CS3"
"128",0,"EVI",74.1174588613823,"CS3"
"129",0,"EVI2",83.0657801686903,"CS3"
"130",0,"EVI2_2",75.2741786046326,"CS3"
"131",0,"GI",85.7670411244122,"CS3"
"132",0,"HH",125.468226679636,"CS3"
"133",0,"HHHV_Ratio",134.738334061379,"CS3"
"134",0,"HV",137.076188932601,"CS3"
"135",0,"LAnthoC",69.6360163406493,"CS3"
"136",0,"LCaroC",84.9074749529231,"CS3"
"137",0,"LChloC",66.5358797259462,"CS3"
"138",0,"MNDSI",91.7883126294626,"CS3"
"139",0,"MSI",67.3262197676414,"CS3"
"140",0,"NBR",69.4644134963513,"CS3"
"141",0,"NDBI",74.4422140612209,"CS3"
"142",0,"NDMI",65.9391103510249,"CS3"
"143",0,"NDTI",95.4747378761233,"CS3"
"144",0,"NDVI",76.655823645823,"CS3"
"145",0,"NDVIre",77.2950449991034,"CS3"
"146",0,"NDWI2",86.0826368961043,"CS3"
"147",0,"NDrededgeSWIR",83.0941637757852,"CS3"
"148",0,"NHI",77.2364173783477,"CS3"
"149",0,"Norm.G",94.2355857985398,"CS3"
"150",0,"Norm.NIR",76.9694007765426,"CS3"
"151",0,"Norm.R",77.3812886456116,"CS3"
"152",0,"RI",82.1043314854452,"CS3"
"153",0,"RTVIScore",83.6191580864893,"CS3"
"154",0,"ReCL",76.9441843573281,"CS3"
"155",0,"RedSWIR1",83.3123082976587,"CS3"
"156",0,"RededgePeakArea",88.3150275779986,"CS3"
"157",0,"SAVI",76.5917843196297,"CS3"
"158",0,"SR.BlueRedEdge1",82.2111451000025,"CS3"
"159",0,"SR.BlueRedEdge2",72.3802472335726,"CS3"
"160",0,"SR.BlueRedEdge3",64.1507891792186,"CS3"
"161",0,"SR.NIRNarrowBlue",76.9109987756509,"CS3"
"162",0,"SR.NIRNarrowGreen",74.0750850660328,"CS3"
"163",0,"SR.NIRNarrowRed",69.1195305134493,"CS3"
"164",0,"SR.NIRNarrowRedEdge1",75.4582622669818,"CS3"
"165",0,"SR.NIRNarrowRedEdge2",110.374613561102,"CS3"
"166",0,"SR.NIRNarrowRedEdge3",103.228259606832,"CS3"
"167",0,"STI",87.6913578701971,"CS3"
"168",0,"Sentinel_RVI",97.3161648423372,"CS3"
"169",0,"Sentinel_Span",108.778698431367,"CS3"
"170",0,"VARI",83.8440753137157,"CS3"
"171",0,"VH",122.787766104581,"CS3"
"172",0,"VV",105.940444276579,"CS3"
"173",0,"VVVH_Ratio",90.9304407817543,"CS3"
"174",0,"WBI",105.590706819861,"CS3"
"175",0,"gNDVI",68.2635652040438,"CS3"
"176",0,"pc1",135.22538329452,"CS3"
"177",0,"pc2",110.330515403092,"CS3"
"178",0,"pc3",117.659018073835,"CS3"
"179",0,"ALOS_RVI",260.233790450386,"CS4"
"180",0,"ALOS_Span",252.849483408837,"CS4"
"181",0,"ARVI",149.365620243351,"CS4"
"182",0,"B11",185.567149315543,"CS4"
"183",0,"B12",189.171976422489,"CS4"
"184",0,"B2",173.889464327093,"CS4"
"185",0,"B3",193.859040408189,"CS4"
"186",0,"B4",173.277294230094,"CS4"
"187",0,"B5",221.292993218238,"CS4"
"188",0,"B6",210.938988346451,"CS4"
"189",0,"B7",183.269693884435,"CS4"
"190",0,"B8",182.99308617938,"CS4"
"191",0,"B8A",185.820234393082,"CS4"
"192",0,"BAI",158.074365340097,"CS4"
"193",0,"BSI",140.600161318068,"CS4"
"194",0,"Chlogreen",156.649244231207,"CS4"
"195",0,"EVI",158.323731119214,"CS4"
"196",0,"EVI2",158.40985094111,"CS4"
"197",0,"EVI2_2",147.657622675958,"CS4"
"198",0,"GI",155.116600692701,"CS4"
"199",0,"HH",235.516777971529,"CS4"
"200",0,"HHHV_Ratio",260.405827527435,"CS4"
"201",0,"HV",276.750206151922,"CS4"
