system:index,Class,pc1,pc2,.geo
00000000000000000150_0,0,-0.7104841327502358,-0.8444009437982668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_0,0,-0.7104840225724411,-0.844397116165719,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_0,0,-0.7099264264683658,-0.8179560102813704,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000153_0,0,-0.7104841073257042,-0.8443987827130542,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000154_0,0,0.8067571857651764,-0.7351143278095823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000155_0,0,-0.6827784022901043,-0.38281525840588176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_0,0,-0.6862215822397623,-0.32750416138804334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157_0,0,-0.7104839789170821,-0.8443941982977691,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_0,0,-0.7104841621546936,-0.8444005051040707,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000159_0,0,-0.7104756827199917,-0.8440511865142627,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_0,0,-0.7104841620151817,-0.8444004906960959,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015b_0,0,-0.7104841625698936,-0.8444005129299725,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015c_0,0,-0.7104841625650644,-0.8444005210906814,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015d_0,0,-0.5935296672580561,0.34290431214906714,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015e_0,0,1.820543113620541,5.92206718497729,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015f_0,0,-0.7104831610843229,-0.8444152316315008,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000160_0,0,-0.7104841388300782,-0.8444009994411943,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161_0,0,-0.7104841532985294,-0.8444006200023624,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162_0,0,-0.7104841624137532,-0.8444005195759124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000163_0,0,-0.7063587349295355,-0.7278057607757796,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_0,0,-0.7099315863211599,-0.8236642074704756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000165_0,0,-0.7104841040573528,-0.844399649061761,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000166_0,0,-0.7036975207027052,-0.7564923865953062,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000167_0,0,-0.7104838722235794,-0.84440294794548,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000168_0,0,-0.710483792768691,-0.8443967669431626,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_0,0,-0.7104840643675329,-0.844401442303354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_0,0,-0.7104841568404295,-0.8444003885941626,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016b_0,0,-0.710484151784696,-0.8444006532486508,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016c_0,0,-0.7104841239658982,-0.8443996960080095,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016d_0,0,-0.7104841514017907,-0.8444006107858812,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016e_0,0,-0.7104832146799567,-0.8443740850356715,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016f_0,0,-0.7091531044924674,-0.7849387015666528,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000170_0,0,-0.5812478929686057,-2.6327220575383716,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000171_0,0,-0.3009679311121193,-3.233801099267474,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000172_0,0,-0.71006879195747,-0.8279715291559888,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000173_0,0,0.20611048713530736,2.3507007661421273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000174_0,0,-0.6949227807834355,-0.5851414417701802,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000175_0,0,-0.7104841004597029,-0.8444004359649347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000176_0,0,-0.7104841318481419,-0.8444007028765662,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000177_0,0,-0.710484065452869,-0.8444011427976892,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000178_0,0,-0.710484092329922,-0.8444015038994708,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000179_0,0,-0.7104464001260726,-0.8428998729229901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017a_0,0,-0.29688374953501184,-5.545700618801842,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017b_0,0,-0.7104841564802626,-0.8444006190587982,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c_0,0,-0.7104841594800497,-0.8444005551751602,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d_0,0,-0.7104840974457953,-0.8443991705779335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e_0,0,-0.7104840124583104,-0.8444033862036971,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f_0,0,-0.71048416271426,-0.8444005196105131,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000180_0,0,-0.7104841611779887,-0.844400542461454,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000181_0,0,-0.710483924886796,-0.8443939342248552,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000182_0,0,-0.6347318130933997,1.6906017351386782,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000183_0,0,0.5474142013074398,11.23540392643562,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000184_0,0,-0.710483988597569,-0.8444025870791654,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000185_0,0,-0.7104827796832116,-0.844339000686647,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000186_0,0,-0.710484133947851,-0.8444009938485596,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000187_0,0,-0.7004455750219956,-0.7923014119229921,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000188_0,0,-0.7104839418372016,-0.8443947301782581,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000189_0,0,0.46910313821060867,-6.427647531631691,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018a_0,0,-0.6363083972515887,-0.9029010099461677,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018b_0,0,-0.6965301117542865,-0.6574389746755948,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018c_0,0,-0.710482034584358,-0.844348114701294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018d_0,0,-0.7104828194276979,-0.8443377474564119,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018e_0,0,-0.710445162956421,-0.8429735549000449,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018f_0,0,-0.513797933949623,-2.877649306421369,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000190_0,0,-0.6984080873678119,-0.9111757445695081,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000191_0,0,-0.42152233545862894,-2.7378750553771662,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000192_0,0,4.3881333982884945,-50.46068318467355,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000193_0,0,0.5589328703499149,0.23357482145022326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000194_0,0,-0.7104841566279461,-0.8444005653135778,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000195_0,0,-0.7104841552676076,-0.8444006253679353,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000196_0,0,-0.7103878123150922,-0.8432075958309929,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000197_0,0,-0.7101961211177755,-0.8365767259495197,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000198_0,0,-0.7103836067642693,-0.8410850820418478,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000199_0,0,-0.6875582704920741,-0.7993120860914269,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019a_0,0,-0.7104835730038768,-0.844408046080009,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019b_0,0,-0.7104841473421133,-0.8444007756431545,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019c_0,0,-0.7104841045024384,-0.8444015303732595,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019d_0,0,-0.710484142069028,-0.844400778232529,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019e_0,0,-0.32481012199723575,-1.3700637553187294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019f_0,0,-0.692672433800738,-0.8548780534809168,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a0_0,0,-0.710483584481467,-0.8444110065480456,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a1_0,0,-0.7104841612880485,-0.8444005136433855,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a2_0,0,-0.7104841611925493,-0.844400482620105,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a3_0,0,-0.7104835904580844,-0.844406431236027,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ac_0,1,3.439810450421623,-51.600703306833864,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ad_0,1,-0.6760323431108552,-1.2863733779195412,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ae_0,1,13.572144063874461,-195.50822142317867,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002af_0,1,-0.6162600876920604,-0.6466496847033514,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b0_0,1,-0.6855388285516206,-1.141550324441099,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b1_0,1,-0.6485996075044457,-1.726729737588719,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b2_0,1,-0.6870163899775075,-0.7764399693354179,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b3_0,1,-0.6990244952868768,-0.9356842661813516,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b4_0,1,-0.6354124299508962,2.832709055229474,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b5_0,1,2.469000262617316,-35.341428809721016,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b6_0,1,-0.7068997310712287,-0.736207941845667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b7_0,1,-0.2646602786172834,20.973983597065036,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b8_0,1,-0.41357198243272403,-5.253616300046067,"{""type"":""MultiPoint"",""coordinates"":[]}"
